Nomer,T-in (mm.ss),T-out (mm.ss),T-in (s),T-out (s),ΔT (s),Volume,VMax,Kepadatan,Kecepatan,Kecepatan Normalisasi,Hambatan Kendaraan Menyebrang,Hambatan Kendaraan Besar,Hambatan Kendaraan Berhenti Pada Sisi Jalan,Total Hambatan
394,9:01,9:33,541,573,32,13,35,0.371428571428571,1.25,0.15625,3,0,0,3
395,9:02,9:36,542,576,34,13,35,0.371428571428571,1.17647058823529,0.147058823529412,3,0,0,3
396,9:07,9:38,547,578,31,12,35,0.342857142857143,1.29032258064516,0.161290322580645,0,3,0,3
397,9:08,9:40,548,580,32,12,35,0.342857142857143,1.25,0.15625,0,3,0,3
398,9:13,9:42,553,582,29,13,35,0.371428571428571,1.37931034482759,0.172413793103448,0,2,0,2
399,9:16,9:49,556,589,33,13,35,0.371428571428571,1.21212121212121,0.151515151515152,0,2,0,2
400,9:21,10:52,561,652,91,13,35,0.371428571428571,0.43956043956044,0.0549450549450549,0,2,0,2
401,9:24,9:53,564,593,29,14,35,0.4,1.37931034482759,0.172413793103448,0,1,0,1
402,9:26,9:57,566,597,31,14,35,0.4,1.29032258064516,0.161290322580645,0,1,0,1
403,9:30,9:58,570,598,28,14,35,0.4,1.42857142857143,0.178571428571429,0,0,0,0
404,9:32,10:08,572,608,36,14,35,0.4,1.11111111111111,0.138888888888889,1,0,0,1
405,9:35,9:55,575,595,20,13,35,0.371428571428571,2,0.25,2,0,0,2
406,9:38,10:13,578,613,35,16,35,0.457142857142857,1.14285714285714,0.142857142857143,1,0,0,1
407,9:39,10:01,579,601,22,16,35,0.457142857142857,1.81818181818182,0.227272727272727,1,0,0,1
408,9:43,10:09,583,609,26,13,35,0.371428571428571,1.53846153846154,0.192307692307692,0,0,0,0
409,9:47,10:18,587,618,31,13,35,0.371428571428571,1.29032258064516,0.161290322580645,0,0,0,0
410,9:49,10:29,589,629,40,12,35,0.342857142857143,1,0.125,0,0,0,0
411,9:51,10:28,591,628,37,12,35,0.342857142857143,1.08108108108108,0.135135135135135,0,0,0,0
412,9:55,10:20,595,620,25,12,35,0.342857142857143,1.6,0.2,2,0,0,2
413,9:56,10:38,596,638,42,12,35,0.342857142857143,0.952380952380952,0.119047619047619,2,0,0,2
414,9:59,10:26,599,626,27,14,35,0.4,1.48148148148148,0.185185185185185,0,1,0,1
415,10:00,10:46,600,646,46,14,35,0.4,0.869565217391304,0.108695652173913,0,1,0,1
416,10:03,10:50,603,650,47,13,35,0.371428571428571,0.851063829787234,0.106382978723404,0,1,0,1
417,10:06,10:33,606,633,27,12,35,0.342857142857143,1.48148148148148,0.185185185185185,0,1,0,1
418,10:09,10:55,609,655,46,13,35,0.371428571428571,0.869565217391304,0.108695652173913,0,1,0,1
419,10:12,10:38,612,638,26,15,35,0.428571428571429,1.53846153846154,0.192307692307692,0,1,0,1
420,10:16,10:58,616,658,42,15,35,0.428571428571429,0.952380952380952,0.119047619047619,0,1,0,1
421,10:18,11:19,618,679,61,12,35,0.342857142857143,0.655737704918033,0.0819672131147541,0,1,0,1
422,10:20,10:39,620,639,19,12,35,0.342857142857143,2.10526315789474,0.263157894736842,0,0,0,0
423,10:22,11:23,622,683,61,14,35,0.4,0.655737704918033,0.0819672131147541,0,0,0,0
424,10:24,10:44,624,644,20,14,35,0.4,2,0.25,0,0,0,0
425,10:27,11:34,627,694,67,14,35,0.4,0.597014925373134,0.0746268656716418,0,0,0,0
426,10:28,10:46,628,646,18,13,35,0.371428571428571,2.22222222222222,0.277777777777778,0,0,0,0
427,10:32,10:56,632,656,24,13,35,0.371428571428571,1.66666666666667,0.208333333333333,0,0,0,0
428,10:38,11:05,638,665,27,11,35,0.314285714285714,1.48148148148148,0.185185185185185,0,0,0,0
429,10:40,11:37,640,697,57,11,35,0.314285714285714,0.701754385964912,0.087719298245614,0,0,0,0
430,10:41,11:20,641,680,39,12,35,0.342857142857143,1.02564102564103,0.128205128205128,0,0,0,0
431,10:45,11:40,645,705,60,12,35,0.342857142857143,0.666666666666667,0.0833333333333333,1,0,0,1
432,10:47,11:24,647,684,37,11,35,0.314285714285714,1.08108108108108,0.135135135135135,1,0,0,1
433,10:51,11:28,651,688,37,10,35,0.285714285714286,1.08108108108108,0.135135135135135,2,0,0,2
434,10:53,11:34,653,694,41,12,35,0.342857142857143,0.975609756097561,0.121951219512195,1,0,0,1
435,10:53,11:42,653,702,49,12,35,0.342857142857143,0.816326530612245,0.102040816326531,1,0,0,1
436,10:57,11:39,657,699,42,13,35,0.371428571428571,0.952380952380952,0.119047619047619,0,0,0,0
437,10:59,11:46,659,706,47,15,35,0.428571428571429,0.851063829787234,0.106382978723404,0,0,0,0
438,11:01,11:45,661,705,44,14,35,0.4,0.909090909090909,0.113636363636364,0,0,0,0
439,11:04,11:50,664,710,46,14,35,0.4,0.869565217391304,0.108695652173913,0,0,0,0
440,11:07,11:49,667,709,42,15,35,0.428571428571429,0.952380952380952,0.119047619047619,0,0,0,0
441,11:09,11:53,669,713,44,17,35,0.485714285714286,0.909090909090909,0.113636363636364,0,0,0,0
442,11:12,11:52,672,712,40,18,35,0.514285714285714,1,0.125,0,0,0,0
443,11:17,11:54,677,714,37,20,35,0.571428571428571,1.08108108108108,0.135135135135135,4,0,0,4
444,11:39,11:56,699,716,17,12,35,0.342857142857143,2.35294117647059,0.294117647058824,0,0,0,0
445,11:40,11:58,700,718,18,13,35,0.371428571428571,2.22222222222222,0.277777777777778,0,0,0,0
446,11:44,12:00,704,720,16,11,35,0.314285714285714,2.5,0.3125,0,0,0,0
447,11:45,12:02,705,722,17,12,35,0.342857142857143,2.35294117647059,0.294117647058824,0,0,0,0
448,11:47,12:04,707,724,17,12,35,0.342857142857143,2.35294117647059,0.294117647058824,0,0,0,0
449,11:50,12:05,710,725,15,11,35,0.314285714285714,2.66666666666667,0.333333333333333,0,0,0,0
450,11:51,12:10,711,732,21,12,35,0.342857142857143,1.9047619047619,0.238095238095238,0,0,0,0
451,11:53,12:06,713,726,13,10,35,0.285714285714286,3.07692307692308,0.384615384615385,0,0,0,0
452,11:54,12:39,714,759,45,10,35,0.285714285714286,0.888888888888889,0.111111111111111,0,1,0,1
453,11:57,12:30,717,750,33,10,35,0.285714285714286,1.21212121212121,0.151515151515152,0,1,0,1
454,11:58,13:01,718,781,63,9,35,0.257142857142857,0.634920634920635,0.0793650793650794,0,1,0,1
455,11:59,12:56,719,776,57,9,35,0.257142857142857,0.701754385964912,0.087719298245614,0,1,0,1
456,12:01,13:10,721,790,69,9,35,0.257142857142857,0.579710144927536,0.072463768115942,0,1,0,1
457,12:04,13:20,724,800,76,11,35,0.314285714285714,0.526315789473684,0.0657894736842105,1,1,0,2
458,12:04,13:03,724,783,59,11,35,0.314285714285714,0.677966101694915,0.0847457627118644,1,1,0,2
459,12:06,12:20,726,740,14,11,35,0.314285714285714,2.85714285714286,0.357142857142857,1,1,0,2
460,12:07,13:26,727,806,79,12,35,0.342857142857143,0.506329113924051,0.0632911392405063,1,1,0,2
461,12:09,13:15,729,795,66,12,35,0.342857142857143,0.606060606060606,0.0757575757575758,0,1,0,1
462,12:10,13:49,730,829,99,12,35,0.342857142857143,0.404040404040404,0.0505050505050505,0,1,0,1
463,12:13,13:53,733,833,100,13,35,0.371428571428571,0.4,0.05,0,1,0,1
464,12:13,13:21,733,801,68,13,35,0.371428571428571,0.588235294117647,0.0735294117647059,0,1,0,1
465,12:16,13:28,736,808,72,11,35,0.314285714285714,0.555555555555556,0.0694444444444445,0,1,0,1
466,12:20,13:50,740,830,90,13,35,0.371428571428571,0.444444444444444,0.0555555555555556,0,1,0,1
467,12:23,13:56,743,836,93,15,35,0.428571428571429,0.43010752688172,0.0537634408602151,0,1,0,1
468,12:26,13:57,746,837,91,16,35,0.457142857142857,0.43956043956044,0.0549450549450549,0,1,0,1
469,12:30,14:01,750,841,91,17,35,0.485714285714286,0.43956043956044,0.0549450549450549,0,1,0,1
470,12:45,14:09,765,849,84,18,35,0.514285714285714,0.476190476190476,0.0595238095238095,0,0,0,0
471,12:58,14:47,778,887,109,19,35,0.542857142857143,0.36697247706422,0.0458715596330275,0,0,0,0
472,13:00,14:53,780,893,113,20,35,0.571428571428571,0.353982300884956,0.0442477876106195,0,0,0,0
473,13:22,14:55,802,895,93,15,35,0.428571428571429,0.43010752688172,0.0537634408602151,1,0,0,1
474,13:22,15:17,802,917,115,15,35,0.428571428571429,0.347826086956522,0.0434782608695652,1,0,0,1
475,13:33,15:18,813,918,105,15,35,0.428571428571429,0.380952380952381,0.0476190476190476,0,0,0,0
476,13:35,15:26,815,926,111,16,35,0.457142857142857,0.36036036036036,0.045045045045045,0,0,0,0
477,13:39,15:22,819,922,103,17,35,0.485714285714286,0.388349514563107,0.0485436893203884,0,0,0,0
478,13:40,15:30,820,930,110,18,35,0.514285714285714,0.363636363636364,0.0454545454545455,0,0,0,0
479,13:44,15:31,824,931,107,19,35,0.542857142857143,0.373831775700935,0.0467289719626168,0,0,0,0
480,14:00,15:36,840,936,96,14,35,0.4,0.416666666666667,0.0520833333333333,0,0,0,0
481,14:04,15:38,844,938,94,13,35,0.371428571428571,0.425531914893617,0.0531914893617021,0,0,0,0
482,14:08,15:43,848,943,95,15,35,0.428571428571429,0.421052631578947,0.0526315789473684,0,1,0,1
483,14:08,15:50,848,950,102,15,35,0.428571428571429,0.392156862745098,0.0490196078431373,0,1,0,1
484,14:12,16:08,852,968,116,17,35,0.485714285714286,0.344827586206897,0.0431034482758621,0,1,0,1
485,14:17,16:45,857,1005,148,17,35,0.485714285714286,0.27027027027027,0.0337837837837838,0,1,0,1
486,14:24,16:14,864,974,110,17,35,0.485714285714286,0.363636363636364,0.0454545454545455,8,1,0,9
487,15:03,16:54,903,1014,111,14,35,0.4,0.36036036036036,0.045045045045045,0,2,0,2
488,15:09,16:59,909,1019,110,14,35,0.4,0.363636363636364,0.0454545454545455,0,3,0,3
489,15:10,16:44,910,1004,94,14,35,0.4,0.425531914893617,0.0531914893617021,0,3,0,3
490,15:10,16:36,910,996,86,14,35,0.4,0.465116279069767,0.0581395348837209,0,3,0,3
491,15:18,17:04,918,1024,106,16,35,0.457142857142857,0.377358490566038,0.0471698113207547,2,3,0,5
492,15:28,17:07,928,1027,99,15,35,0.428571428571429,0.404040404040404,0.0505050505050505,1,3,0,4
493,15:44,17:09,944,1029,85,11,35,0.314285714285714,0.470588235294118,0.0588235294117647,3,3,0,6
494,15:45,17:26,945,1046,101,12,35,0.342857142857143,0.396039603960396,0.0495049504950495,0,3,0,3
495,15:47,17:19,947,1039,92,14,35,0.4,0.434782608695652,0.0543478260869565,0,3,0,3
496,15:48,16:05,948,965,17,15,35,0.428571428571429,2.35294117647059,0.294117647058824,0,3,0,3
497,15:50,17:29,950,1049,99,16,35,0.457142857142857,0.404040404040404,0.0505050505050505,0,3,0,3
498,15:53,17:30,953,1050,97,17,35,0.485714285714286,0.412371134020619,0.0515463917525773,0,4,0,4
499,15:55,17:15,955,1038,83,18,35,0.514285714285714,0.481927710843374,0.0602409638554217,0,5,0,5
500,15:55,17:33,955,1053,98,18,35,0.514285714285714,0.408163265306122,0.0510204081632653,0,5,0,5
501,00:05,3:50,5,230,225,19,35,0.542857142857143,0.177777777777778,0.0222222222222222,1,2,0,3
502,0:08,1:40,8,100,92,19,35,0.542857142857143,0.434782608695652,0.0543478260869565,2,2,0,4
503,0:18,4:02,18,242,224,21,35,0.6,0.178571428571429,0.0223214285714286,3,2,0,5
504,0:41,1:52,41,112,71,19,35,0.542857142857143,0.563380281690141,0.0704225352112676,1,2,0,3
505,0:57,5:04,57,304,247,17,35,0.485714285714286,0.161943319838057,0.0202429149797571,2,2,0,4
506,1:04,3:45,64,225,161,19,35,0.542857142857143,0.248447204968944,0.031055900621118,4,2,0,6
507,1:40,6:18,100,378,278,16,35,0.457142857142857,0.143884892086331,0.0179856115107914,0,1,0,1
508,1:44,4:25,104,265,161,17,35,0.485714285714286,0.248447204968944,0.031055900621118,0,1,0,1
509,1:44,5:09,104,309,205,17,35,0.485714285714286,0.195121951219512,0.024390243902439,0,1,0,1
510,1:46,4:01,106,241,135,17,35,0.485714285714286,0.296296296296296,0.037037037037037,0,1,0,1
511,1:48,4:34,108,274,166,18,35,0.514285714285714,0.240963855421687,0.0301204819277108,0,1,0,1
512,1:50,4:20,110,260,150,18,35,0.514285714285714,0.266666666666667,0.0333333333333333,0,1,0,1
513,1:52,6:13,112,373,261,19,35,0.542857142857143,0.153256704980843,0.0191570881226054,0,0,0,0
514,1:54,5:24,114,324,210,22,35,0.628571428571429,0.19047619047619,0.0238095238095238,0,0,0,0
515,1:55,6:40,115,400,285,22,35,0.628571428571429,0.140350877192982,0.0175438596491228,0,1,0,1
516,2:01,5:25,121,325,204,21,35,0.6,0.196078431372549,0.0245098039215686,0,1,0,1
517,2:07,6:24,127,384,257,26,35,0.742857142857143,0.155642023346304,0.0194552529182879,0,2,0,2
518,2:07,7:20,127,440,313,26,35,0.742857142857143,0.12779552715655,0.0159744408945687,0,2,0,2
519,2:36,6:55,156,415,259,29,35,0.828571428571429,0.154440154440154,0.0193050193050193,0,2,0,2
520,2:53,7:05,173,425,252,27,35,0.771428571428572,0.158730158730159,0.0198412698412698,0,2,0,2
521,2:54,7:53,174,473,299,27,35,0.771428571428572,0.133779264214047,0.0167224080267559,0,2,0,2
522,3:04,9:55,184,595,411,32,35,0.914285714285714,0.097323600973236,0.0121654501216545,0,2,0,2
523,3:39,6:50,219,410,191,32,35,0.914285714285714,0.209424083769634,0.0261780104712042,0,2,0,2
524,4:02,10:06,242,606,364,27,35,0.771428571428572,0.10989010989011,0.0137362637362637,0,2,0,2
525,4:05,9:45,245,585,340,26,35,0.742857142857143,0.117647058823529,0.0147058823529412,0,2,0,2
526,4:07,10:05,247,605,358,22,35,0.628571428571429,0.111731843575419,0.0139664804469274,0,2,0,2
527,4:09,10:03,249,603,354,22,35,0.628571428571429,0.112994350282486,0.0141242937853107,0,2,0,2
528,4:15,6:06,255,366,111,22,35,0.628571428571429,0.36036036036036,0.045045045045045,0,2,0,2
529,4:17,10:15,257,615,358,22,35,0.628571428571429,0.111731843575419,0.0139664804469274,0,2,0,2
530,4:23,10:16,263,616,353,27,35,0.771428571428572,0.113314447592068,0.0141643059490085,0,2,0,2
531,4:43,10:32,283,632,349,23,35,0.657142857142857,0.114613180515759,0.0143266475644699,0,2,0,2
532,5:20,10:56,320,656,336,28,35,0.8,0.119047619047619,0.0148809523809524,0,2,0,2
533,5:35,10:47,335,647,312,26,35,0.742857142857143,0.128205128205128,0.016025641025641,0,2,0,2
534,5:47,10:34,347,634,287,25,35,0.714285714285714,0.139372822299652,0.0174216027874564,0,2,0,2
535,5:49,10:57,349,657,308,24,35,0.685714285714286,0.12987012987013,0.0162337662337662,0,2,0,2
536,5:55,11:03,355,663,308,26,35,0.742857142857143,0.12987012987013,0.0162337662337662,0,2,0,2
537,6:00,11:05,360,665,305,29,35,0.828571428571429,0.131147540983607,0.0163934426229508,0,2,0,2
538,6:01,11:06,361,666,305,28,35,0.8,0.131147540983607,0.0163934426229508,0,2,0,2
539,6:07,10:47,367,647,280,28,35,0.8,0.142857142857143,0.0178571428571429,0,2,0,2
540,6:10,11:09,370,669,299,30,35,0.857142857142857,0.133779264214047,0.0167224080267559,0,1,0,1
541,6:35,11:06,395,666,271,27,35,0.771428571428572,0.14760147601476,0.018450184501845,0,1,0,1
542,6:41,11:09,401,669,268,26,35,0.742857142857143,0.149253731343284,0.0186567164179104,0,1,0,1
543,6:53,11:21,413,681,268,30,35,0.857142857142857,0.149253731343284,0.0186567164179104,1,1,0,2
544,7:35,12:08,455,728,273,32,35,0.914285714285714,0.146520146520147,0.0183150183150183,1,1,0,2
545,7:38,11:43,458,703,245,32,35,0.914285714285714,0.163265306122449,0.0204081632653061,3,1,0,4
546,7:57,11:25,477,685,208,29,35,0.828571428571429,0.192307692307692,0.0240384615384615,3,1,0,4
547,8:54,11:21,534,681,147,33,35,0.942857142857143,0.272108843537415,0.0340136054421769,4,1,0,5
548,9:21,11:52,561,712,151,32,35,0.914285714285714,0.264900662251656,0.033112582781457,0,1,0,1
549,10:09,11:44,609,704,95,27,35,0.771428571428572,0.421052631578947,0.0526315789473684,0,1,0,1
550,10:11,12:09,611,729,118,23,35,0.657142857142857,0.338983050847458,0.0423728813559322,0,1,0,1
551,10:16,12:24,616,744,128,25,35,0.714285714285714,0.3125,0.0390625,0,1,0,1
552,10:29,11:25,629,745,116,22,35,0.628571428571429,0.344827586206897,0.0431034482758621,0,1,0,1
553,10:31,12:51,631,771,140,22,35,0.628571428571429,0.285714285714286,0.0357142857142857,0,1,0,1
554,10:32,15:05,632,905,273,21,35,0.6,0.146520146520147,0.0183150183150183,0,1,0,1
555,10:39,15:56,639,956,317,24,35,0.685714285714286,0.126182965299685,0.0157728706624606,3,1,0,4
556,10:50,13:29,650,809,159,23,35,0.657142857142857,0.251572327044025,0.0314465408805031,0,1,0,1
557,10:52,12:17,652,737,85,24,35,0.685714285714286,0.470588235294118,0.0588235294117647,0,1,0,1
558,11:00,16:30,660,990,330,22,35,0.628571428571429,0.121212121212121,0.0151515151515152,0,1,0,1
559,11:02,14:26,662,866,204,23,35,0.657142857142857,0.196078431372549,0.0245098039215686,0,1,0,1
560,11:04,16:22,664,982,318,24,35,0.685714285714286,0.125786163522013,0.0157232704402516,0,1,0,1
561,11:08,12:01,668,721,53,21,35,0.6,0.754716981132076,0.0943396226415094,1,0,0,1
562,11:13,16:30,673,990,317,25,35,0.714285714285714,0.126182965299685,0.0157728706624606,1,1,0,2
563,11:14,16:04,674,964,290,25,35,0.714285714285714,0.137931034482759,0.0172413793103448,1,1,0,2
564,11:18,16:36,678,996,318,29,35,0.828571428571429,0.125786163522013,0.0157232704402516,0,1,0,1
565,11:22,16:40,682,1000,318,30,35,0.857142857142857,0.125786163522013,0.0157232704402516,0,1,0,1
566,11:22,11:53,682,713,31,30,35,0.857142857142857,1.29032258064516,0.161290322580645,0,1,0,1
567,11:29,16:31,689,991,302,28,35,0.8,0.132450331125828,0.0165562913907285,0,1,0,1
568,11:32,16:41,692,1001,309,31,35,0.885714285714286,0.129449838187702,0.0161812297734628,0,1,0,1
569,11:36,17:38,696,1058,362,33,35,0.942857142857143,0.110497237569061,0.0138121546961326,0,2,0,2
570,11:38,16:34,698,994,296,34,35,0.971428571428571,0.135135135135135,0.0168918918918919,0,2,0,2
571,11:45,16:38,705,998,293,24,35,0.685714285714286,0.136518771331058,0.0170648464163823,0,2,0,2
572,11:49,16:42,709,1002,293,23,35,0.657142857142857,0.136518771331058,0.0170648464163823,0,3,0,3
573,11:51,17:43,711,1063,352,23,35,0.657142857142857,0.113636363636364,0.0142045454545455,0,3,0,3
574,11:54,16:58,714,1018,304,26,35,0.742857142857143,0.131578947368421,0.0164473684210526,0,3,0,3
575,11:56,13:24,716,804,88,26,35,0.742857142857143,0.454545454545455,0.0568181818181818,0,3,0,3
576,11:58,17:45,718,1065,347,27,35,0.771428571428572,0.115273775216138,0.0144092219020173,0,3,0,3
577,12:18,13:14,738,794,56,24,35,0.685714285714286,0.714285714285714,0.0892857142857143,0,3,0,3
578,12:32,17:06,752,1056,304,25,35,0.714285714285714,0.131578947368421,0.0164473684210526,0,3,0,3
579,12:37,17:52,757,1072,315,25,35,0.714285714285714,0.126984126984127,0.0158730158730159,0,3,0,3
580,12:43,17:42,763,1062,299,26,35,0.742857142857143,0.133779264214047,0.0167224080267559,0,3,0,3
581,12:47,17:18,467,1038,571,26,35,0.742857142857143,0.0700525394045534,0.00875656742556918,0,3,0,3
582,13:00,16:36,780,996,216,27,35,0.771428571428572,0.185185185185185,0.0231481481481481,0,3,0,3
583,13:06,17:24,786,1044,258,30,35,0.857142857142857,0.155038759689922,0.0193798449612403,1,3,0,4
584,13:17,17:58,797,1078,281,28,35,0.8,0.142348754448399,0.0177935943060498,0,3,0,3
585,13:25,17:30,805,1050,245,30,35,0.857142857142857,0.163265306122449,0.0204081632653061,0,3,0,3
586,13:31,17:48,811,1068,257,28,35,0.8,0.155642023346304,0.0194552529182879,0,3,0,3
587,13:40,17:45,820,1065,245,28,35,0.8,0.163265306122449,0.0204081632653061,3,3,0,6
588,15:40,17:50,940,1070,130,28,35,0.8,0.307692307692308,0.0384615384615385,6,3,0,9
589,15:52,18:07,952,1087,135,29,35,0.828571428571429,0.296296296296296,0.037037037037037,0,3,0,3
590,16:24,17:54,984,1074,90,25,35,0.714285714285714,0.444444444444444,0.0555555555555556,0,3,0,3
591,16:37,17:51,997,1071,74,20,35,0.571428571428571,0.540540540540541,0.0675675675675676,3,2,0,5
592,16:42,17:53,1002,1073,71,19,35,0.542857142857143,0.563380281690141,0.0704225352112676,3,1,0,4
593,16:46,17:57,1006,1077,71,20,35,0.571428571428571,0.563380281690141,0.0704225352112676,0,0,0,0
594,16:47,18:00,1007,1080,73,21,35,0.6,0.547945205479452,0.0684931506849315,0,0,0,0
595,16:48,18:17,1008,1097,89,22,35,0.628571428571429,0.449438202247191,0.0561797752808989,0,0,0,0
596,16:54,18:11,1014,1091,77,25,35,0.714285714285714,0.519480519480519,0.0649350649350649,3,0,0,3
597,17:02,18:14,1022,1094,72,27,35,0.771428571428572,0.555555555555556,0.0694444444444445,3,0,0,3
598,17:17,18:09,1037,1089,52,30,35,0.857142857142857,0.769230769230769,0.0961538461538462,3,0,0,3
599,17:22,18:20,1042,1100,58,28,35,0.8,0.689655172413793,0.0862068965517241,6,0,0,6
600,17:47,18:19,1067,1099,32,19,35,0.542857142857143,1.25,0.15625,0,0,0,0
601,17:52,18:24,1072,1104,32,17,35,0.485714285714286,1.25,0.15625,0,0,0,0
602,17:53,18:23,1073,1103,30,17,35,0.485714285714286,1.33333333333333,0.166666666666667,0,0,0,0
603,17:55,18:29,1075,1109,34,17,35,0.485714285714286,1.17647058823529,0.147058823529412,0,0,0,0
604,17:58,18:26,1078,1106,28,17,35,0.485714285714286,1.42857142857143,0.178571428571429,0,0,0,0
605,17:58,18:32,1078,1112,34,17,35,0.485714285714286,1.17647058823529,0.147058823529412,0,0,0,0
606,18:02,18:30,1082,1110,28,17,35,0.485714285714286,1.42857142857143,0.178571428571429,0,0,0,0
607,18:03,18:34,1083,1114,31,17,35,0.485714285714286,1.29032258064516,0.161290322580645,0,1,0,1
608,18:03,18:34,1083,1114,31,17,35,0.485714285714286,1.29032258064516,0.161290322580645,0,1,0,1
609,18:06,18:37,1086,1117,31,17,35,0.485714285714286,1.29032258064516,0.161290322580645,0,1,0,1
610,18:07,18:36,1087,1116,29,20,35,0.571428571428571,1.37931034482759,0.172413793103448,0,1,0,1
611,18:08,18:39,1088,1119,31,20,35,0.571428571428571,1.29032258064516,0.161290322580645,0,1,0,1
612,18:12,18:40,1092,1120,28,23,35,0.657142857142857,1.42857142857143,0.178571428571429,0,1,0,1
613,18:14,18:41,1094,1121,27,23,35,0.657142857142857,1.48148148148148,0.185185185185185,0,1,0,1
614,18:19,18:45,1099,1125,26,20,35,0.571428571428571,1.53846153846154,0.192307692307692,0,1,0,1
615,18:21,18:42,1101,1122,21,20,35,0.571428571428571,1.9047619047619,0.238095238095238,0,1,0,1
616,18:24,19:00,1104,1140,36,18,35,0.514285714285714,1.11111111111111,0.138888888888889,0,1,0,1
617,18:25,18:46,1105,1126,21,18,35,0.514285714285714,1.9047619047619,0.238095238095238,0,1,0,1
618,18:28,19:08,1108,1148,40,17,35,0.485714285714286,1,0.125,0,1,0,1
619,18:29,18:55,1109,1135,26,18,35,0.514285714285714,1.53846153846154,0.192307692307692,0,1,0,1
620,18:30,19:21,1110,1161,51,18,35,0.514285714285714,0.784313725490196,0.0980392156862745,0,1,0,1
621,18:33,19:23,1113,1163,50,17,35,0.485714285714286,0.8,0.1,0,1,0,1
622,18:33,19:17,1113,1157,44,17,35,0.485714285714286,0.909090909090909,0.113636363636364,0,1,0,1
623,18:36,19:27,1116,1167,51,16,35,0.457142857142857,0.784313725490196,0.0980392156862745,0,0,0,0
624,18:37,19:29,1117,1169,52,17,35,0.485714285714286,0.769230769230769,0.0961538461538462,0,0,0,0
625,18:43,19:32,1123,1172,49,16,35,0.457142857142857,0.816326530612245,0.102040816326531,0,0,0,0
626,18:44,19:32,1124,1172,48,16,35,0.457142857142857,0.833333333333333,0.104166666666667,0,0,0,0
627,18:48,19:33,1128,1173,45,15,35,0.428571428571429,0.888888888888889,0.111111111111111,0,1,0,1
628,18:50,19:44,1130,1184,54,17,35,0.485714285714286,0.740740740740741,0.0925925925925926,0,1,0,1
629,18:50,19:36,1130,1176,46,17,35,0.485714285714286,0.869565217391304,0.108695652173913,0,1,0,1
630,18:51,19:37,1131,1177,46,17,35,0.485714285714286,0.869565217391304,0.108695652173913,0,1,0,1
631,18:55,19:41,1135,1181,46,19,35,0.542857142857143,0.869565217391304,0.108695652173913,1,1,0,2
632,18:56,19:40,1136,1180,44,19,35,0.542857142857143,0.909090909090909,0.113636363636364,1,1,0,2
633,18:57,19:40,1137,1180,43,21,35,0.6,0.930232558139535,0.116279069767442,2,1,0,3
634,19:00,19:43,1140,1183,43,19,35,0.542857142857143,0.930232558139535,0.116279069767442,2,2,0,4
635,19:04,19:46,1144,1186,42,17,35,0.485714285714286,0.952380952380952,0.119047619047619,2,2,0,4
636,19:12,19:49,1152,1189,37,16,35,0.457142857142857,1.08108108108108,0.135135135135135,2,2,0,4
637,19:22,19:44,1162,1184,22,15,35,0.428571428571429,1.81818181818182,0.227272727272727,1,2,0,3
638,19:22,19:42,1162,1182,20,15,35,0.428571428571429,2,0.25,1,2,0,3
639,19:33,22:32,1173,1352,179,13,35,0.371428571428571,0.223463687150838,0.0279329608938547,0,2,0,2
640,19:34,19:48,1174,1188,14,13,35,0.371428571428571,2.85714285714286,0.357142857142857,0,2,0,2
641,19:35,19:55,1175,1195,20,13,35,0.371428571428571,2,0.25,0,2,0,2
642,19:36,20:05,1176,1205,29,13,35,0.371428571428571,1.37931034482759,0.172413793103448,0,2,0,2
643,19:38,19:51,1178,1191,13,14,35,0.4,3.07692307692308,0.384615384615385,0,2,0,2
644,19:39,19:57,1179,1197,18,13,35,0.371428571428571,2.22222222222222,0.277777777777778,0,2,0,2
645,19:42,19:59,1182,1199,17,13,35,0.371428571428571,2.35294117647059,0.294117647058824,0,2,0,2
646,19:44,20:00,1184,1200,16,12,35,0.342857142857143,2.5,0.3125,0,1,0,1
647,19:45,20:06,1185,1206,21,12,35,0.342857142857143,1.9047619047619,0.238095238095238,0,0,0,0
648,19:49,20:05,1189,1205,16,12,35,0.342857142857143,2.5,0.3125,0,0,0,0
649,19:51,20:10,1191,1210,19,12,35,0.342857142857143,2.10526315789474,0.263157894736842,0,0,0,0
650,19:55,20:21,1195,1221,26,11,35,0.314285714285714,1.53846153846154,0.192307692307692,0,0,0,0
651,19:56,20:09,1196,1209,13,11,35,0.314285714285714,3.07692307692308,0.384615384615385,0,0,0,0
652,19:58,20:35,1198,1235,37,11,35,0.314285714285714,1.08108108108108,0.135135135135135,0,0,0,0
653,19:59,20:12,1199,1212,13,10,35,0.285714285714286,3.07692307692308,0.384615384615385,0,0,0,0
654,20:02,20:13,1202,1213,11,10,35,0.285714285714286,3.63636363636364,0.454545454545455,0,0,0,0
655,20:05,20:22,1205,1222,17,9,35,0.257142857142857,2.35294117647059,0.294117647058824,0,0,0,0
656,20:06,20:17,1206,1217,11,9,35,0.257142857142857,3.63636363636364,0.454545454545455,0,0,0,0
657,20:08,20:26,1208,1226,18,9,35,0.257142857142857,2.22222222222222,0.277777777777778,0,0,0,0
658,20:09,20:20,1209,1220,11,9,35,0.257142857142857,3.63636363636364,0.454545454545455,0,0,0,0
